Strand Name1, Strand Name2, Start Time(YYYY:MM : DD),Stop Time(YYYY:MM : DD),Duration(sec)
YH1->FX0802->XG9, XG9->FX0202->YH2,2017:05:08:02:36:57, 2017:05:08:02:40:26,209
YH1->FX0102->XG9, XG9->FX0202->YH2,2017:05:08:02:40:26, 2017:05:08:02:43:03,157
YH1->FX0801->XG9, XG9->FX1012->YH2,2017:05:08:02:43:40, 2017:05:08:02:43:42,2
YH1->FX0101->XG9, XG9->FX0201->YH2,2017:05:08:02:49:05, 2017:05:08:02:52:00,175
YH1->FX0812->XG9, XG9->FX1011->YH2,2017:05:08:02:52:40, 2017:05:08:02:53:14,34
YH1->FX0112->XG9, XG9->FX0212->YH2,2017:05:08:02:57:41, 2017:05:08:03:00:54,193
YH1->FX0811->XG9, XG9->FX1010->YH2,2017:05:08:03:01:43, 2017:05:08:03:02:43,60
YH1->FX0111->XG9, XG9->FX0211->YH2,2017:05:08:03:06:15, 2017:05:08:03:09:46,211
YH1->FX0910->XG9, XG9->FX0211->YH2,2017:05:08:03:09:46, 2017:05:08:03:10:26,40
YH1->FX0810->XG9, XG9->FX1009->YH2,2017:05:08:03:11:03, 2017:05:08:03:12:08,65
YH1->FX0110->XG9, XG9->FX0210->YH2,2017:05:08:03:14:44, 2017:05:08:03:18:35,231
YH1->FX0909->XG9, XG9->FX0210->YH2,2017:05:08:03:18:35, 2017:05:08:03:19:30,55
YH1->FX0809->XG9, XG9->FX1008->YH2,2017:05:08:03:20:35, 2017:05:08:03:21:31,56
YH1->FX0109->XG9, XG9->FX0209->YH2,2017:05:08:03:23:10, 2017:05:08:03:27:21,251
YH1->FX0908->XG9, XG9->FX0209->YH2,2017:05:08:03:27:21, 2017:05:08:03:28:31,70
YH1->FX0808->XG9, XG9->FX1007->YH2,2017:05:08:03:29:31, 2017:05:08:03:30:51,80
YH1->FX0108->XG9, XG9->FX0208->YH2,2017:05:08:03:32:03, 2017:05:08:03:36:04,241
YH1->FX0207->XG9, XG9->FX0208->YH2,2017:05:08:03:36:04, 2017:05:08:03:37:32,88
YH1->FX0807->XG9, XG9->FX1006->YH2,2017:05:08:03:38:52, 2017:05:08:03:39:44,52
YH1->FX0107->XG9, XG9->FX0207->YH2,2017:05:08:03:41:21, 2017:05:08:03:44:43,202
YH1->FX0206->XG9, XG9->FX0207->YH2,2017:05:08:03:44:43, 2017:05:08:03:46:32,109
YH1->FX0106->XG9, XG9->FX1004->YH2,2017:05:08:03:50:36, 2017:05:08:03:53:16,160
YH1->FX0205->XG9, XG9->FX1004->YH2,2017:05:08:03:53:16, 2017:05:08:03:56:48,212
YH1->FX0904->XG9, XG9->FX1003->YH2,2017:05:08:03:59:49, 2017:05:08:04:04:56,307
YH1->FX0204->XG9, XG9->FX1003->YH2,2017:05:08:04:04:56, 2017:05:08:04:05:12,16
YH1->FX0903->XG9, XG9->FX1002->YH2,2017:05:08:04:09:08, 2017:05:08:04:13:29,261
YH1->FX0203->XG9, XG9->FX0303->YH2,2017:05:08:04:13:41, 2017:05:08:04:15:18,97
YH1->FX0902->XG9, XG9->FX0302->YH2,2017:05:08:04:18:35, 2017:05:08:04:22:25,230
YH1->FX0202->XG9, XG9->FX0302->YH2,2017:05:08:04:22:25, 2017:05:08:04:24:35,130
YH1->FX0901->XG9, XG9->FX0301->YH2,2017:05:08:04:27:39, 2017:05:08:04:31:06,207
YH1->FX0201->XG9, XG9->FX0301->YH2,2017:05:08:04:31:06, 2017:05:08:04:33:44,158
YH1->FX0912->XG9, XG9->FX1111->YH2,2017:05:08:04:34:20, 2017:05:08:04:34:24,4
YH1->FX0212->XG9, XG9->FX0312->YH2,2017:05:08:04:39:45, 2017:05:08:04:42:41,176
YH1->FX0911->XG9, XG9->FX1110->YH2,2017:05:08:04:43:20, 2017:05:08:04:43:56,36
YH1->FX0211->XG9, XG9->FX0311->YH2,2017:05:08:04:48:21, 2017:05:08:04:51:35,194
YH1->FX0910->XG9, XG9->FX1109->YH2,2017:05:08:04:52:23, 2017:05:08:04:53:24,61
YH1->FX0210->XG9, XG9->FX0310->YH2,2017:05:08:04:56:54, 2017:05:08:05:00:27,213
YH1->FX1009->XG9, XG9->FX0310->YH2,2017:05:08:05:00:27, 2017:05:08:05:01:08,41
YH1->FX0909->XG9, XG9->FX1108->YH2,2017:05:08:05:01:47, 2017:05:08:05:02:50,63
YH1->FX0209->XG9, XG9->FX0309->YH2,2017:05:08:05:05:24, 2017:05:08:05:09:16,232
YH1->FX1008->XG9, XG9->FX0309->YH2,2017:05:08:05:09:16, 2017:05:08:05:10:11,55
YH1->FX0908->XG9, XG9->FX1107->YH2,2017:05:08:05:11:16, 2017:05:08:05:12:12,56
YH1->FX0208->XG9, XG9->FX0308->YH2,2017:05:08:05:13:49, 2017:05:08:05:18:02,253
YH1->FX1007->XG9, XG9->FX0308->YH2,2017:05:08:05:18:02, 2017:05:08:05:19:13,71
YH1->FX0907->XG9, XG9->FX1106->YH2,2017:05:08:05:20:11, 2017:05:08:05:21:33,82
YH1->FX0207->XG9, XG9->FX0307->YH2,2017:05:08:05:22:45, 2017:05:08:05:26:45,240
YH1->FX0306->XG9, XG9->FX0307->YH2,2017:05:08:05:26:45, 2017:05:08:05:28:14,89
YH1->FX0906->XG9, XG9->FX1105->YH2,2017:05:08:05:29:35, 2017:05:08:05:30:23,48
YH1->FX0206->XG9, XG9->FX0306->YH2,2017:05:08:05:32:03, 2017:05:08:05:35:24,201
YH1->FX0305->XG9, XG9->FX0306->YH2,2017:05:08:05:35:24, 2017:05:08:05:37:13,109
YH1->FX1004->XG9, XG9->FX1103->YH2,2017:05:08:05:41:17, 2017:05:08:05:46:47,330
YH1->FX0304->XG9, XG9->FX1103->YH2,2017:05:08:05:46:47, 2017:05:08:05:47:26,39
YH1->FX1003->XG9, XG9->FX1102->YH2,2017:05:08:05:50:30, 2017:05:08:05:55:35,305
YH1->FX0303->XG9, XG9->FX1102->YH2,2017:05:08:05:55:35, 2017:05:08:05:55:50,15
YH1->FX1002->XG9, XG9->FX1101->YH2,2017:05:08:05:59:50, 2017:05:08:06:04:06,256
YH1->FX0302->XG9, XG9->FX0402->YH2,2017:05:08:06:04:21, 2017:05:08:06:06:00,99
YH1->FX1001->XG9, XG9->FX0401->YH2,2017:05:08:06:09:17, 2017:05:08:06:13:05,228
YH1->FX0301->XG9, XG9->FX0401->YH2,2017:05:08:06:13:05, 2017:05:08:06:15:18,133
YH1->FX1012->XG9, XG9->FX0412->YH2,2017:05:08:06:18:21, 2017:05:08:06:21:46,205
YH1->FX0312->XG9, XG9->FX0412->YH2,2017:05:08:06:21:46, 2017:05:08:06:24:26,160
YH1->FX1011->XG9, XG9->FX1210->YH2,2017:05:08:06:25:01, 2017:05:08:06:25:07,6
YH1->FX0311->XG9, XG9->FX0411->YH2,2017:05:08:06:30:24, 2017:05:08:06:33:22,178
YH1->FX1010->XG9, XG9->FX1209->YH2,2017:05:08:06:34:01, 2017:05:08:06:34:39,38
YH1->FX0310->XG9, XG9->FX0410->YH2,2017:05:08:06:39:00, 2017:05:08:06:42:16,196
YH1->FX1009->XG9, XG9->FX1208->YH2,2017:05:08:06:43:04, 2017:05:08:06:44:07,63
YH1->FX0309->XG9, XG9->FX0409->YH2,2017:05:08:06:47:33, 2017:05:08:06:51:08,215
YH1->FX1108->XG9, XG9->FX0409->YH2,2017:05:08:06:51:08, 2017:05:08:06:51:50,42
YH1->FX1008->XG9, XG9->FX1207->YH2,2017:05:08:06:52:31, 2017:05:08:06:53:32,61
YH1->FX0308->XG9, XG9->FX0408->YH2,2017:05:08:06:56:02, 2017:05:08:06:59:57,235
